"filename", "language", "JSON", "JavaScript", "SQL", "comment", "blank", "total"
"c:\Users\ejesu\backhabitau_node\codigoPrueba.js", "JavaScript", 0, 144, 0, 8, 16, 168
"c:\Users\ejesu\backhabitau_node\connection.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\ejesu\backhabitau_node\database\database.sql", "SQL", 0, 0, 54, 0, 6, 60
"c:\Users\ejesu\backhabitau_node\index.js", "JavaScript", 0, 14, 0, 0, 5, 19
"c:\Users\ejesu\backhabitau_node\package-lock.json", "JSON", 2242, 0, 0, 0, 1, 2243
"c:\Users\ejesu\backhabitau_node\package.json", "JSON", 24, 0, 0, 0, 1, 25
"c:\Users\ejesu\backhabitau_node\routes\propiedadesRoutes.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Users\ejesu\backhabitau_node\routes\tipopropiedadRoutes.js", "JavaScript", 0, 59, 0, 0, 8, 67
"c:\Users\ejesu\backhabitau_node\routes\universidadesRoutes.js", "JavaScript", 0, 59, 0, 0, 8, 67
"c:\Users\ejesu\backhabitau_node\routes\usuariosRoutes.js", "JavaScript", 0, 242, 0, 0, 21, 263
"c:\Users\ejesu\backhabitau_node\server.js", "JavaScript", 0, 5, 0, 0, 2, 7
"c:\Users\ejesu\backhabitau_node\services\authentication.js", "JavaScript", 0, 13, 0, 0, 4, 17
"c:\Users\ejesu\backhabitau_node\services\checkRole.js", "JavaScript", 0, 9, 0, 0, 3, 12
"c:\Users\ejesu\backhabitau_node\services\multer.js", "JavaScript", 0, 11, 0, 1, 3, 15
"Total", "-", 2266, 579, 54, 9, 84, 2992
